Entity,Code,Year,Coal (% of total),Nuclear (Rate),Natural gas (Rate),Oil (Rate),Hydroelectric (Rate),Other renewables (excluding hydro) (Rate)
Angola,AGO,2004,0,0,0,21.594982078853,78.405017921147,0
Angola,AGO,2005,0,0,0,20.3517587939699,79.6482412060301,0
Angola,AGO,2006,0,0,0,19.3889897156685,80.6110102843315,0
Angola,AGO,2007,0,0,0,22.3811004041032,77.6188995958968,0
Angola,AGO,2008,0,0,0,24.5909528392685,75.4090471607315,0
Angola,AGO,2009,0,0,0,34.6568109820486,65.3431890179514,0
Angola,AGO,2010,0,0,0,32.0425766195632,67.9574233804368,0
Angola,AGO,2011,0,0,0,29.0921960714918,70.9078039285082,0
Angola,AGO,2012,0,0,0,39.2005157962605,60.7994842037395,0
Angola,AGO,2013,0,0,0,41.9790652385589,58.0209347614411,0
Angola,AGO,2014,0,0,0,46.8248945147679,53.1751054852321,0
Angola,AGO,2015,0,,0,46.8250716919295,53.1749283080705,0
Arab World,,1971,1.16864736343805,0,22.1129398508521,44.4504731689448,31.5116054545282,0
Arab World,,1972,2.29708352846147,0,24.3608122545396,42.4477582353983,30.1380118193638,0
Arab World,,1973,2.43310623845991,0,28.0591594275997,42.9592436489648,25.7921565227388,0
Arab World,,1974,2.39157679533718,0,28.2574413428684,41.5316405206119,27.0630071789457,0
Arab World,,1975,2.63117480048283,0,28.7659379532607,42.6486297480952,25.1979233359244,0
Arab World,,1976,2.26907832656626,0,32.5752345201241,39.8268470577119,24.5725059333609,0
Arab World,,1977,1.95608751935342,0,30.984291636161,42.1198501047693,24.1834365774795,0
Arab World,,1978,1.73222719719696,0,33.3421709895963,42.5868839278003,21.5823837231696,0
Arab World,,1979,1.03418013666117,0,35.8200319660535,43.8574473831699,18.5320063518786,0
Arab World,,1980,1.01231649402846,0,43.4880071955242,38.6275012892642,16.1158408589463,0
Arab World,,1981,1.03664126062851,0,41.2714968779994,42.7709863269018,14.1645413722334,0
Arab World,,1982,0.83621396992488,0,38.9123211469151,47.2483291596037,12.2468015613195,0
Arab World,,1983,0.915870179919954,0,39.3992042134627,48.7378570450806,10.1907343993,0
Arab World,,1984,0.738702150756711,0,41.5198721176711,47.7545417395462,9.23054982978918,0
Arab World,,1985,0.614335631481157,0,42.6351076274606,47.8408502949242,8.1533722838972,0
Arab World,,1986,1.05708907081532,0,42.4781838937,48.1030845868824,7.60530828636539,0
Arab World,,1987,1.27087240893116,0,42.14412695818,47.9259489583464,7.90271751230555,0
Arab World,,1988,1.1287032545777,0,43.2355334782685,47.5170295004004,7.36239960451653,0
Arab World,,1989,0.817177323588579,0,45.2372510507089,45.6797166288501,7.50952083461557,0
Arab World,,1990,0.878220367539574,0,47.9432091783946,35.9280269980826,7.19807199977056,0.000397025482612827
Arab World,,1991,0.722370956946199,0,47.3188777122516,36.7219821764329,6.65010884263576,0.000397781363957158
Arab World,,1992,0.594013286364151,0,48.4013991464775,35.8359526260503,5.73180086572603,0.000356123073359803
Arab World,,1993,0.829170254927178,0,51.4690672442075,32.3801614936947,5.35182789393234,0.000327088857959439
Arab World,,1994,0.909064491204378,0,51.927137545062,31.9766064817959,5.28513634249897,0.000309416096393593
Arab World,,1995,1.76742232536419,0,51.7527791893504,31.5257441990062,5.04728195227579,0.000296149853445743
Arab World,,1996,1.66950805258984,0,52.080274184065,31.04036852585,5.2646147177812,0.00028110928651117
Arab World,,1997,1.70021081454868,0,51.2224686818207,32.4473935507426,5.13594839528354,0.000796600412876157
Arab World,,1998,1.83769081026503,0,49.1975801555375,34.4950698988935,4.77622531254643,0.000737830892772363
Arab World,,1999,1.61003453058675,0,50.7410260016664,34.2500585369594,4.8147210962451,0.00629283907438366
Arab World,,2000,1.92316475573276,0,51.0907559251247,34.5278470724391,4.38936134503233,0.0497049299272842
Arab World,,2001,2.40139919478956,0,55.0380310684151,32.0013935311835,4.49702696534352,0.0947024856438188
Arab World,,2002,2.23476231614561,0,55.5904160102666,33.197387414932,3.65106258058486,0.0846015776538584
Arab World,,2003,2.16698809536645,0,56.7999464081284,32.6112253221678,3.81062394712385,0.113042609348961
Arab World,,2004,2.17809175070905,0,57.9209905673018,31.6342642767731,3.75890025354014,0.134836736704171
Arab World,,2005,2.03740314217249,0,60.5437284686299,27.5042222626921,4.32286023693058,0.129308124960755
Arab World,,2006,1.94130455630543,0,61.4616541037026,26.5195262787809,3.97078183544413,0.127293726138148
Arab World,,2007,1.76274005201624,0,61.2486014027772,26.9734462948687,3.96372413879962,0.164995978217142
Arab World,,2008,1.53361331831582,0,61.6241127287519,27.1717301872521,3.17926904335477,0.165959527329323
Arab World,,2009,1.35993786399866,0,61.1128258885623,24.3444276013238,3.10696289318962,0.204184723941989
Arab World,,2010,1.23553279590234,0,61.7602660860604,22.8497384012294,3.54752325596881,0.285971376927516
Arab World,,2011,1.28616709146489,0,61.7795203475993,22.9708407346772,3.24906136651157,0.282033900268994
Arab World,,2012,1.23565131597756,0,61.3309735964376,24.1785779433422,3.21002534852469,0.25388382301968
Arab World,,2013,1.20975636697385,0,63.0350443483141,22.8127066597771,3.39073692282828,0.35538478810354
Arab World,,2014,1.48465707581122,0,61.5925258712412,23.1662068182909,2.83490847880908,0.418328270760565
Arab World,,2015,1.51919649198532,,64.0714218284369,20.5098184498828,2.43845551579809,0.454258660053111
Argentina,ARG,1971,3.08584490348798,0,22.9258381307145,67.2113105316627,6.53572637995259,0.241280054182188
Argentina,ARG,1972,2.43025369477594,0,23.1881767169841,68.145894254327,5.94325456413499,0.292420769777918
Argentina,ARG,1973,2.36675293499869,0,24.5414650613255,61.648100221297,11.2298863508496,0.2137954315292
Argentina,ARG,1974,2.4257602862254,3.70661896243292,23.3023255813954,52.3685152057245,17.9892665474061,0.207513416815742
Argentina,ARG,1975,2.2151790887094,8.57785502504856,24.8815731179498,46.3892580854037,17.724840677504,0.211294005384589
Argentina,ARG,1976,2.07505957108817,8.51204659782896,25.6685199894096,46.9651840084723,16.5905480540111,0.188641779189833
Argentina,ARG,1977,1.65057230123716,5.05044272359856,24.7986918828865,50.5229383272144,17.7891586709036,0.188196094159751
Argentina,ARG,1978,2.26117126278639,8.66184123945684,19.898905305976,45.809654842376,23.1859783453969,0.182449004007896
Argentina,ARG,1979,1.80654074015037,7.15177598894822,19.7019207778752,42.772508700619,28.3201827794161,0.247071012991153
Argentina,ARG,1980,2.06266055507984,5.89331587165668,22.0218606759684,31.6400543998388,38.140331436055,0.2417770614013
Argentina,ARG,1981,2.30181003630372,7.25044414119828,22.4259120986637,29.9956229563068,37.809933314452,0.216277453075517
Argentina,ARG,1982,1.83773755202327,4.68836183121897,25.6581256581257,23.434287720002,44.1082083939227,0.273278844707416
Argentina,ARG,1983,2.09287724112271,7.91805222891426,24.4215519847453,22.3868102225426,42.8318954491547,0.348812873520452
Argentina,ARG,1984,1.29208735489036,10.3211315215941,24.5652270604457,19.3991015433883,44.2111817817907,0.211270737890851
Argentina,ARG,1985,1.34099193637468,12.7383187893516,27.4472550535734,12.6057660444052,45.6113995360654,0.256268640229758
Argentina,ARG,1986,2.0672203742628,11.6543885068261,27.0779340040406,16.1092178029917,42.872885333551,0.218353978327857
Argentina,ARG,1987,1.95238186744557,12.4233747766099,24.0800169103941,19.3662445473587,41.9704452429908,0.207536655200907
Argentina,ARG,1988,3.0356390919879,11.0975002871033,40.3341882632163,16.527581058837,28.7734946215978,0.231596677257589
Argentina,ARG,1989,1.71249826770406,9.97604482191998,48.1459484072776,14.2622399081388,25.6676763477262,0.235592247233276
Argentina,ARG,1990,1.30074891604257,14.3496255419787,39.1643673630272,9.74379188017343,35.2305873078439,0.210878990934174
Argentina,ARG,1991,1.72687093224922,14.4639427111501,39.1641646308487,14.2084553270052,30.2500792570352,0.186487141711579
Argentina,ARG,1992,1.49245718580555,12.6715699432723,37.2559546178486,13.7094898087006,34.6879977094182,0.182530734954636
Argentina,ARG,1993,1.91633103806678,12.5860724957776,35.6941015980252,10.8694946082889,38.7602312589321,0.173769000909445
Argentina,ARG,1994,3.63991504797929,12.7660563969802,33.9281008262669,7.06434960546917,42.4155518005798,0.186026322724666
Argentina,ARG,1995,2.8471237782586,10.5439080802805,39.5538312318138,6.84175184660151,40.0387972841901,0.17458777885548
Argentina,ARG,1996,2.75091123037626,10.7037281519961,46.5100594093505,6.63547914932698,32.8789139855925,0.520908073357633
Argentina,ARG,1997,2.6224791833799,11.0113696091178,44.1547484024454,2.82442114581316,38.74934299704,0.637638662203657
Argentina,ARG,1998,2.44284710587472,10.0699886504891,45.9493055180241,5.1478138680214,35.7171809976761,0.672863859914609
Argentina,ARG,1999,2.61722196676899,8.83094933326705,56.4964519616737,4.76095790821082,26.5848111648253,0.709607665254079
Argentina,ARG,2000,2.00314925205264,6.94747497469351,54.6473962433922,3.24260488134068,32.3630637723541,0.79631087616691
Argentina,ARG,2001,1.51140209732009,7.83332408589025,47.711257837208,1.11413194251789,41.0841702269323,0.745713810131499
Argentina,ARG,2002,0.960297443548483,6.8925911453708,47.6845109113945,0.898724734467692,42.4496465489681,1.11422921625046
Argentina,ARG,2003,1.01814625665544,8.22123220688906,51.7103118548299,1.09855481908073,36.7412800173856,1.21047484515919
Argentina,ARG,2004,1.67523586082963,7.8560375380622,54.8015773972945,4.03234662806369,30.389856736385,1.24494583936505
Argentina,ARG,2005,2.06652700230351,6.51524774625323,52.4461802428643,5.44691016295229,32.23402944327,1.2911054023566
Argentina,ARG,2006,1.86583574282533,7.1966613330339,46.2903180529433,7.51948647409445,35.5107655166606,1.61693288044241
Argentina,ARG,2007,2.17939766326863,6.7188009123493,51.0468742726807,10.2127263417586,28.2707256900805,1.57147511986222
Argentina,ARG,2008,1.59287523436729,6.027762244663,54.2186112298938,11.8170454919246,25.0131574619256,1.33054833722575
Argentina,ARG,2009,1.43948031069809,6.69378849892141,51.2299149435281,11.7094136270803,27.7774588046162,1.14994381515596
Argentina,ARG,2010,2.40533916639391,5.72475511523754,49.9820377924846,13.3024117257291,26.8131850586366,1.77227114151825
Argentina,ARG,2011,2.83586121724364,4.91760256261819,44.818802825055,15.1217629578171,30.6425842306356,1.66338620663039
Argentina,ARG,2012,2.9205099279642,4.71513784128529,48.3141262432996,14.7890906677874,27.2320408178313,2.02909450183223
Argentina,ARG,2013,2.54892937775924,4.45998088682269,47.2353643279311,14.2682523476035,29.3691309912423,2.11535972619681
Argentina,ARG,2014,2.21728366463494,4.07475576950304,48.1996785915942,13.840106557021,29.6079396562957,1.96826453938701
Argentina,ARG,2015,2.02956738894983,,49.4822602564899,15.4231944645654,26.2415750877847,1.89849403616245
Armenia,ARM,1990,0,0,16.406099208647,68.5871453387377,15.0067554526153,0
Armenia,ARM,1991,0,0,28.0580075662043,55.6956704497688,16.2463219840269,0
Armenia,ARM,1992,0,0,22.8787205686362,43.3140826299422,33.8071968014216,0
Armenia,ARM,1993,0,0,23.1294678316124,8.67355043685465,68.196981731533,0
Armenia,ARM,1994,0,0,26.6525273948392,11.2407211028632,62.1067515022976,0
Armenia,ARM,1995,0,5.46664269016364,52.3826649883115,7.64251033986693,34.508181981658,0
Armenia,ARM,1996,0,37.399420663019,35.2590923720631,2.04377212745414,25.2977148374638,0
Armenia,ARM,1997,0,26.6545032343672,49.9751202521148,0.315143473212805,23.0552330403052,0
Armenia,ARM,1998,0,25.6662897754805,49.5073493781295,0,24.8263608463899,0
Armenia,ARM,1999,0,36.3477348259577,42.6622354381669,0,20.9900297358755,0
Armenia,ARM,2000,0,33.6522322927157,45.1829472977509,0,21.1648204095334,0
Armenia,ARM,2001,0,34.5865970409051,48.5639686684073,0,16.8494342906876,0
Armenia,ARM,2002,0,41.348070302591,28.6102554810654,0,30.0416742163435,0
Armenia,ARM,2003,0,36.3206689692783,27.6495182694056,0,36.0298127613161,0
Armenia,ARM,2004,0,36.5008291873963,30.3648424543947,0,33.134328358209,0
Armenia,ARM,2005,0,42.9950926072503,28.9377869241729,0,28.0671204685769,0
Armenia,ARM,2006,0,44.4369634741626,24.8443023060091,0,30.7187342198283,0
Armenia,ARM,2007,0,43.2858596134283,25.2458460495083,0,31.4174296371651,0.0508646998982706
Armenia,ARM,2008,0,42.6516464471404,26.1698440207972,0,31.1438474870017,0.0346620450606586
Armenia,ARM,2009,0,43.9781343678364,20.3491447716452,0,35.6021865632164,0.0705342973020631
Armenia,ARM,2010,0,38.3608072716068,22.1537513480203,0,39.3775997535049,0.107841626867971
Armenia,ARM,2011,0,34.2934051144011,32.1668909825034,0,33.4993270524899,0.0403768506056528
Armenia,ARM,2012,0,28.7580886012942,42.297162767546,0,28.8949726231956,0.0497760079641613
Armenia,ARM,2013,0,30.609597924773,41.1543450064851,0,28.1841763942931,0.0518806744487678
Armenia,ARM,2014,0,31.8064516129032,42.4387096774194,0,25.7032258064516,0.0516129032258065
Armenia,ARM,2015,0,,35.9148608795999,0,28.2856776509809,0.0512886267470189
Australia,AUS,1960,74.4230500256422,0,0,5.52473308778964,18.6395636160194,1.41265327054874
Australia,AUS,1961,72.9985254575418,0,0,5.64663023679417,20.0407667620782,1.31407754358574
Australia,AUS,1962,75.5753798525398,0,0.0122204570450935,3.181392317406,20.0293290969082,1.20167827610086
Australia,AUS,1963,71.8578835901556,0,0.0182575038340758,2.92850361498576,24.0962535602132,1.09910173081136
Australia,AUS,1964,72.7075527509367,0,0.0230066390586998,3.83882206008019,22.4807730230724,0.949845526852034
Australia,AUS,1965,70.748035025851,0,0.0209198768715818,3.56235617584651,24.7840769851469,0.884611936284032
Australia,AUS,1966,75.7616188570158,0,0.022237046920169,3.79141649988881,19.6353124305092,0.789415165666
Australia,AUS,1967,75.6673432160933,0,0.0205534003031627,3.98479048377566,19.5822521388382,0.745060760989646
Australia,AUS,1968,76.7204635793305,0,0.0167616493462957,4.37239595804799,18.215123796753,0.675255016522197
Australia,AUS,1969,76.139627688732,0,0.019733812791896,4.86767382200101,18.3568311881948,0.616133488280308
Australia,AUS,1970,75.966464834653,0,0.866730118871631,4.63943622040866,17.9988254591847,0.528543366881999
Australia,AUS,1971,71.0321425205015,0,3.26892261287586,3.37072297106231,21.832406447356,0.495805448204355
Australia,AUS,1972,71.9266682258964,0,3.48128024755771,3.26718601011101,20.8211143695015,0.503751146933415
Australia,AUS,1973,74.8831721289842,0,4.27100961015975,2.60514508391424,17.7159180885252,0.524755088416575
Australia,AUS,1974,67.7829978592877,0,5.21816588365444,7.41778371621913,18.9646997974225,0.616352743416232
Australia,AUS,1975,68.8226260210114,0,4.00114163008467,6.55485940281874,19.9567811467946,0.664591799290558
Australia,AUS,1976,68.3644884281076,0,4.65362865221489,6.62765734631899,19.7206513771076,0.633574196250916
Australia,AUS,1977,72.4295949664796,0,5.00200031520118,6.11005370543237,15.9382690605792,0.520081952307636
Australia,AUS,1978,70.7485371937432,0,6.38855864046437,6.21022449122316,16.1806186912838,0.472060983285544
Australia,AUS,1979,69.8068245755326,0,6.87642730271505,5.90006950343656,16.9555288328939,0.46114978542193
Australia,AUS,1980,73.2532498897453,0,7.32511497994414,5.42768339038579,13.5896843564273,0.40426738349749
Australia,AUS,1981,71.1382670632436,0,9.30259862241703,5.39194583594239,13.7719160926738,0.395272385723231
Australia,AUS,1982,71.0677789164185,0,9.74112418951663,5.67553848658692,13.0213670711501,0.494191336327852
Australia,AUS,1983,73.1332391936844,0,9.47335500440687,5.48726745453339,11.4976733606907,0.40846498668461
Australia,AUS,1984,73.2081360309944,0,10.5745085378103,4.98278088678433,10.8390730377386,0.395501506672406
Australia,AUS,1985,74.6899548721377,0,9.61139896373057,3.90021728229985,11.4173491559418,0.381079725890022
Australia,AUS,1986,74.0640005104727,0,10.9943050393223,3.00780066042401,11.5669915612487,0.366902228532232
Australia,AUS,1987,76.540224903629,0,10.6361624962934,2.12814488720604,10.3381157668241,0.357351946047459
Australia,AUS,1988,76.722779007043,0,10.6425441450822,1.76724948298552,10.3388433337672,0.528584031122102
Australia,AUS,1989,77.2800206687426,0,10.2854190179628,2.05599597503433,9.82785113066181,0.550713207598483
Australia,AUS,1990,78.7350846150356,0,9.30668170357839,2.30220303719691,9.16992358397013,0.486107060218943
Australia,AUS,1991,80.350845811826,0,6.8814841314458,2.1694690039352,10.1069402565544,0.491260796238565
Australia,AUS,1992,81.1382175131657,0,7.31055892814499,1.48435830725337,9.64581526588992,0.421049985546045
Australia,AUS,1993,80.435688206033,0,7.53203950109045,1.48312872160553,10.1319561861354,0.417187385135632
Australia,AUS,1994,81.1203034055357,0,7.29740561946294,1.38781711920272,9.78351249334506,0.410961362453565
Australia,AUS,1995,80.1614536616417,0,8.62995862388241,1.5844448945343,9.19244234831168,0.431700471629872
Australia,AUS,1996,82.1678183613031,0,7.02016640812297,1.58228740657171,8.69158087716824,0.538146946834015
Australia,AUS,1997,82.9637621235604,0,6.25742747769703,1.19113467215045,9.04276584209114,0.54490988450101
Australia,AUS,1998,84.000020510822,0,6.63217430096555,0.933755172572929,7.88794937929125,0.546100636348253
Australia,AUS,1999,82.7488496122813,0,7.85799525603186,0.849101543508474,7.95719624607739,0.586857342100998
Australia,AUS,2000,83.0275797659437,0,7.74072732817444,0.850074333854306,7.79552472077155,0.586093851256052
Australia,AUS,2001,83.288966178405,0,7.70115711323657,0.911421755512452,7.38545916661093,0.712995786235034
Australia,AUS,2002,77.1086032949538,0,13.9547361662078,1.07574171643695,6.98264563854023,0.878273183861236
Australia,AUS,2003,77.4890518890591,0,13.3172549481835,0.752994297008876,7.37762142656379,1.06307743918472
Australia,AUS,2004,77.6563999421593,0,13.548307940389,0.608641926621183,7.05919469968845,1.12745549114205
Australia,AUS,2005,79.5280866400697,0,10.4240476117488,1.24415910872488,6.70427025535698,2.09943638409964
Australia,AUS,2006,79.6216167440821,0,9.76508956846434,1.31398591482724,6.84321114438806,2.45609662823824
Australia,AUS,2007,77.0535725309595,0,13.1077171278176,1.19063787405496,5.90133303701143,2.74673943015652
Australia,AUS,2008,75.8348315115212,0,14.3804536085867,1.66945732352009,4.89935122370646,3.2159063326655
Australia,AUS,2009,74.8999375239324,0,16.1518773050646,1.45025091194905,4.75704871117919,2.74088554787481
Australia,AUS,2010,71.3276416875453,0,17.6468725633384,2.41360612069614,5.3441308366086,3.26774879181163
Australia,AUS,2011,67.9882791730831,0,19.2972229989721,2.28784554974853,6.59926666062771,3.82738561756864
Australia,AUS,2012,68.554964397789,0,19.3430715070806,1.50931073482326,5.58564442391322,5.0070089363939
Australia,AUS,2013,63.7153925350832,0,20.4526061509248,2.56789292567532,7.2794356244066,5.98467276391009
Australia,AUS,2014,61.1643250733091,0,21.9097412431927,2.01922147391487,7.40582605613379,7.50088615344955
